address,lat,lng,location_type
7217 Saukdale Dr,43.0764122,-89.5083318,RANGE_INTERPOLATED
7220 Saukdale Dr,43.0764383,-89.5083656,RANGE_INTERPOLATED
7222 Saukdale Dr,43.0764376,-89.5083945,RANGE_INTERPOLATED
7224 Saukdale Dr,43.076437,-89.5084234,RANGE_INTERPOLATED
10 Kings Mill Cir,43.0759988,-89.2776444,RANGE_INTERPOLATED
18 Kings Mill Cir,43.0760446,-89.2777844,ROOFTOP
2104 Pike Dr,43.0294762,-89.4172932,RANGE_INTERPOLATED
2106 Pike Dr,43.0294805,-89.4173023,RANGE_INTERPOLATED
2110 Pike Dr,43.029489,-89.4173204,RANGE_INTERPOLATED
2114 Pike Dr,43.0294975,-89.4173385,RANGE_INTERPOLATED
2116 Pike Dr,43.0295017,-89.4173475,RANGE_INTERPOLATED
2118 Pike Dr,43.0295059,-89.4173565,RANGE_INTERPOLATED
2120 Pike Dr,43.0295102,-89.4173656,RANGE_INTERPOLATED
2122 Pike Dr,43.0295144,-89.4173746,RANGE_INTERPOLATED
2124 Pike Dr,43.0295187,-89.4173837,RANGE_INTERPOLATED
2204 Pike Dr,43.0297034,-89.4177771,RANGE_INTERPOLATED
2212 Pike Dr,43.0297423,-89.4178575,RANGE_INTERPOLATED
2214 Pike Dr,43.0297523,-89.4178774,RANGE_INTERPOLATED
2218 Pike Dr,43.0297725,-89.4179173,RANGE_INTERPOLATED
2220 Pike Dr,43.0297825,-89.4179372,RANGE_INTERPOLATED
2837 Traceway Dr,43.0301599,-89.4187221,RANGE_INTERPOLATED
2937 Turbot Dr,43.0282089,-89.41748,ROOFTOP
2941 Turbot Dr,43.027913,-89.4178227,RANGE_INTERPOLATED
2943 Turbot Dr,43.0279335,-89.4178247,RANGE_INTERPOLATED
5301 Brody Dr,43.077941,-89.4730208,RANGE_INTERPOLATED
5303 Brody Dr,43.0772109,-89.4738311,ROOFTOP
5309 Brody Dr,43.0764877,-89.4744793,ROOFTOP
5311 Brody Dr,43.0777987,-89.474009,RANGE_INTERPOLATED
5313 Brody Dr,43.0777978,-89.4740149,RANGE_INTERPOLATED
5315 Brody Dr,43.077797,-89.4740207,RANGE_INTERPOLATED
5319 Brody Dr,43.0777954,-89.4740325,RANGE_INTERPOLATED
5321 Brody Dr,43.0777946,-89.4740384,RANGE_INTERPOLATED
5323 Brody Dr,43.0777937,-89.4740443,RANGE_INTERPOLATED
5325 Brody Dr,43.075988,-89.474695,ROOFTOP
5327 Brody Dr,43.0777921,-89.4740561,RANGE_INTERPOLATED
5329 Brody Dr,43.0777913,-89.474062,RANGE_INTERPOLATED
5331 Brody Dr,43.0765369,-89.4741315,ROOFTOP
5333 Brody Dr,43.0777896,-89.4740738,RANGE_INTERPOLATED
5335 Brody Dr,43.0777888,-89.4740797,RANGE_INTERPOLATED
